appid,developers
1113120,NeocoreGames
237990,Relic Entertainment
232430,Spike Chunsoft Co.
601840,Unknown Developer
219890,Billy Basso
402710,Joey Drew Studios
2365810,Dovetail Games
341800,ATLUS
1789480,Easy Day Studios Pty Ltd
1267910,Everything Unlimited Ltd.
313340,Hempuli Oy
293760,Crate Entertainment
629820,EarthWork Games
329050,Destructive Creations
1887840,Free Lives
1515210,Mossmouth
2005010,BlitWorks
775500,Travellers Tales
313160,Offworld
39000,Ninja Theory
851100,Ubisoft
311310,Techland
746850,Hunter Studio
1016920,Naughty Dog LLC
1061910,Iron Galaxy Studios
343780,Jagex Ltd
865360,Santa Monica Studio
265300,Jetpack Interactive
760060,Tango Gameworks
1302240,Gameloft
